id,started,command,ok,detail
1,2026-08-01T17:48:58+00:00,inventory,1,
2,2026-08-01T17:49:00+00:00,collect,1,
3,2026-08-01T17:49:05+00:00,aeo,1,
4,2026-08-01T17:49:05+00:00,outreach,1,
5,2026-08-01T17:49:05+00:00,brief,1,
6,2026-08-01T17:51:28+00:00,inventory,1,
7,2026-08-01T17:51:29+00:00,collect,1,
8,2026-08-01T17:51:30+00:00,aeo,1,
9,2026-08-01T17:53:07+00:00,inventory,1,
10,2026-08-01T17:53:08+00:00,collect,1,
11,2026-08-01T17:53:14+00:00,aeo,1,
12,2026-08-01T17:53:14+00:00,outreach,1,
13,2026-08-01T17:53:14+00:00,brief,1,
14,2026-08-01T17:54:14+00:00,inventory,1,
15,2026-08-01T17:54:16+00:00,collect,1,
16,2026-08-01T17:54:19+00:00,aeo,1,
17,2026-08-01T17:54:19+00:00,outreach,1,
18,2026-08-01T17:54:19+00:00,brief,1,
19,2026-08-01T17:55:29+00:00,inventory,1,
20,2026-08-01T17:55:32+00:00,collect,1,
21,2026-08-01T18:03:04+00:00,aeo,1,
22,2026-08-01T18:03:04+00:00,outreach,1,
23,2026-08-01T18:03:04+00:00,brief,1,
24,2026-08-02T03:45:26+00:00,gsc,1,
25,2026-08-02T03:45:27+00:00,inventory,1,
26,2026-08-02T04:02:01+00:00,collect,1,
27,2026-08-02T04:02:01+00:00,brief,1,
28,2026-08-02T04:18:59+00:00,restore,1,
29,2026-08-02T04:18:59+00:00,inventory,1,
30,2026-08-02T04:24:19+00:00,collect,1,
31,2026-08-02T04:24:19+00:00,brief,1,
32,2026-08-02T11:56:00+00:00,restore,1,
33,2026-08-02T11:56:07+00:00,gate,1,
34,2026-08-02T13:38:10+00:00,restore,1,
35,2026-08-02T13:38:12+00:00,gate,1,
36,2026-08-02T13:42:01+00:00,restore,1,
37,2026-08-02T13:42:02+00:00,gate,1,
38,2026-08-02T13:47:12+00:00,restore,1,
39,2026-08-02T13:47:14+00:00,gate,1,
40,2026-08-02T14:49:22+00:00,restore,1,
41,2026-08-02T14:49:23+00:00,gate,1,
42,2026-08-02T16:01:50+00:00,restore,1,
43,2026-08-02T16:01:51+00:00,gate,1,
44,2026-08-02T17:27:25+00:00,restore,1,
45,2026-08-02T17:27:26+00:00,gate,1,
46,2026-08-02T18:38:10+00:00,restore,1,
47,2026-08-02T18:38:11+00:00,gate,1,
48,2026-08-02T19:52:48+00:00,restore,1,
49,2026-08-02T19:52:49+00:00,gate,1,
50,2026-08-02T20:56:49+00:00,restore,1,
51,2026-08-02T20:56:50+00:00,gate,1,
52,2026-08-02T22:00:34+00:00,restore,1,
53,2026-08-02T22:00:35+00:00,gate,1,
54,2026-08-02T23:16:20+00:00,restore,1,
55,2026-08-02T23:16:20+00:00,gate,1,
56,2026-08-03T00:17:03+00:00,restore,1,
57,2026-08-03T00:17:04+00:00,gate,1,
58,2026-08-03T04:02:44+00:00,restore,1,
59,2026-08-03T04:02:45+00:00,gate,1,
60,2026-08-03T04:04:30+00:00,restore,1,
61,2026-08-03T04:04:31+00:00,inventory,1,
62,2026-08-03T04:21:02+00:00,collect,1,
63,2026-08-03T04:21:02+00:00,brief,1,
64,2026-08-03T06:02:20+00:00,restore,1,
65,2026-08-03T06:02:21+00:00,gate,1,
66,2026-08-03T06:04:06+00:00,restore,1,
67,2026-08-03T06:04:06+00:00,gate,1,
68,2026-08-03T06:06:45+00:00,restore,1,
69,2026-08-03T06:06:46+00:00,report,1,
70,2026-08-03T06:06:46+00:00,brief,1,
71,2026-08-03T06:06:58+00:00,outreach,1,
72,2026-08-03T06:06:59+00:00,opportunity,1,
73,2026-08-03T06:06:59+00:00,gate,1,
74,2026-08-03T06:06:59+00:00,aeo,1,
75,2026-08-03T06:06:59+00:00,snapshot,1,
76,2026-08-03T06:06:59+00:00,gsc,0,"GSC_SERVICE_ACCOUNT_JSON is not set.
  Local: add it to .env (see .env.example)
  CI:    GitHub -> autoseo -> Settings -> Environments -> read"
77,2026-08-03T06:07:36+00:00,restore,1,
78,2026-08-03T06:07:37+00:00,gate,1,
