id,created,kind,channel,title,body,rationale,policy,meta,status,message_id,decided_at,decided_by
1,2026-08-02T11:56:00+00:00,test,test,autoseo gate is live,"If you can see this and the buttons work, the approval loop is connected. Nothing publishes without a decision recorded here.",Sent by `autoseo gate --test-card` to verify end-to-end delivery.,gated,{},pending,3,,
2,2026-08-02T13:47:12+00:00,test,test,autoseo gate is live,"If you can see this and the buttons work, the approval loop is connected. Nothing publishes without a decision recorded here.",Sent by `autoseo gate --test-card` to verify end-to-end delivery.,gated,{},pending,5,,
3,2026-08-03T06:07:36+00:00,test,test,autoseo gate is live,"If you can see this and the buttons work, the approval loop is connected. Nothing publishes without a decision recorded here.",Sent by `autoseo gate --test-card` to verify end-to-end delivery.,gated,{},pending,6,,
4,2026-08-03T06:10:22+00:00,test,test,autoseo gate is live,"If you can see this and the buttons work, the approval loop is connected. Nothing publishes without a decision recorded here.",Sent by `autoseo gate --test-card` to verify end-to-end delivery.,gated,{},approved,7,2026-08-03T06:12:13+00:00,telegram
5,2026-08-03T09:05:14+00:00,test,test,autoseo gate is live,"If you can see this and the buttons work, the approval loop is connected. Nothing publishes without a decision recorded here.",Sent by `autoseo gate --test-card` to verify end-to-end delivery.,gated,{},approved,8,2026-08-03T09:16:17+00:00,telegram
6,2026-08-03T09:50:39+00:00,test,test,autoseo gate is live,"If you can see this and the buttons work, the approval loop is connected. Nothing publishes without a decision recorded here.",Sent by `autoseo gate --test-card` to verify end-to-end delivery.,gated,{},approved,10,2026-08-03T09:53:20+00:00,telegram
7,2026-08-03T10:12:22+00:00,blog,blog,Journey Cloud vs Premium,"---
title: Journey Cloud vs Premium
description: Journey Cloud handles cross-device sync, while Journey Premium adds AI features, unlimited media, and exports. Here is how they differ.
date: 2026-08-03
---

Journey Cloud is the sync infrastructure that mirrors your journal entries across devices. Journey Premium is the paid membership tier that adds features on top of that infrastructure, including AI prompts, speech-to-text, unlimited file attachments, and PDF exports. You can use Journey Cloud on a free tier to sync basic text entries using your own cloud drives or Journey's basic backend. Premium converts that basic sync into a broader suite by removing media caps and granting full access across web, desktop, and mobile platforms.

### How Journey Structures Cloud vs Premium",51 impressions for 'journey cloud vs premium' at position 25.3. Demand is proven; the page is on page 3. | PASS · slop 0 · max duplication 0%,gated,"{""slug"": ""journey-cloud-vs-premium"", ""query"": ""journey cloud vs premium"", ""markdown"": ""---\ntitle: Journey Cloud vs Premium\ndescription: Journey Cloud handles cross-device sync, while Journey Premium adds AI features, unlimited media, and exports. Here is how they differ.\ndate: 2026-08-03\n---\n\nJourney Cloud is the sync infrastructure that mirrors your journal entries across devices. Journey Premium is the paid membership tier that adds features on top of that infrastructure, including AI prompts, speech-to-text, unlimited file attachments, and PDF exports. You can use Journey Cloud on a free tier to sync basic text entries using your own cloud drives or Journey's basic backend. Premium converts that basic sync into a broader suite by removing media caps and granting full access across web, desktop, and mobile platforms.\n\n### How Journey Structures Cloud vs Premium"", ""description"": ""Journey Cloud handles cross-device sync, while Journey Premium adds AI features, unlimited media, and exports. Here is how they differ."", ""evidence"": ""51 impressions for 'journey cloud vs premium' at position 25.3. Demand is proven; the page is on page 3.""}",skipped,13,2026-08-05T06:40:52+00:00,autoseo
8,2026-08-03T10:17:02+00:00,blog,blog,Building a Personal Digital Twin on iPhone,"---
title: Building a Personal Digital Twin on iPhone
description: A personal digital twin is an on-device model of your emotional patterns built from daily voice journaling without cloud tracking.
date: 2026-08-03
---

A personal digital twin is a software model that reflects your emotional, cognitive, and behavioral patterns over time. It processes personal inputs—like daily voice notes or journal entries—and maps how your mood shifts, what triggers stress, and how your thinking evolves. 

Most digital twins run on remote cloud servers. I think that is a mistake. Private thoughts do not belong in a central database. I built DailyVox to create a personal digital twin that runs on an iPhone. Your twin should belong to you, not an AI company.

Here is how local personal digital twins work, how privacy trade-offs break down, and how current journaling tools handle your data.

## How an On-Device Digital Twin Works

A digital twin needs three components: input processing, pattern extraction, and a persistent memory model.

In DailyVox, you speak. Apple's Speech framework transcribes the audio on your device. The text passes into an on-device language model that evaluates sentiment, recurring topics, and emotional state. The app updates your local twin profile.

Nothing touches an external server. The App Store privacy label reads ""Data Not Collected"" because no data leaves the hardware. Turn on airplane mode. It still works.

Most AI tools send raw voice or text to remote endpoints. That approach is easier to build. Server GPUs process text fast. But every entry exposes intimate details to remote infrastructure. Local execution flips the priority. Speed takes a small hit, but privacy remains complete.

## Comparing Digital Twin and Journaling Options

Different tools approach personal tracking from different angles. Here is how the current options compare:

### DailyVox
DailyVox is a free, open-source iPhone app for voice journaling. It uses Apple's native frameworks to build an emotional twin locally. It costs nothing, has no accounts, and collects zero data.

### Rosebud
Rosebud is an interactive AI journal. It acts as a conversation partner, asking follow-up questions to prompt reflection. It uses cloud-based language models to generate responses. The interactive feedback is helpful, but your entries leave your device for cloud processing.

### Day One
Day One is a structured digital journal. It supports text, photos, audio, and location data. It syncs across Mac, iOS, and Android using encrypted cloud storage. Day One does not build an AI emotional twin, but it excels at archival storage.

### Apple Journal
Apple Journal comes built into iOS. It suggests prompts based on photos, workouts, and locations recorded by your phone. It operates on-device with end-to-end encryption. However, it focuses on daily event prompts rather than modeling personal emotional patterns over time.

### Daylio
Daylio uses a micro-journaling format with icons and mood ",36 impressions for 'personal digital twin' at position 30.2. Demand is proven; the page is on page 4. | PASS · slop 5 · max duplication 0% · warn: em dash overuse: 4 in 748 words,gated,"{""slug"": ""personal-digital-twin"", ""query"": ""personal digital twin"", ""markdown"": ""---\ntitle: Building a Personal Digital Twin on iPhone\ndescription: A personal digital twin is an on-device model of your emotional patterns built from daily voice journaling without cloud tracking.\ndate: 2026-08-03\n---\n\nA personal digital twin is a software model that reflects your emotional, cognitive, and behavioral patterns over time. It processes personal inputs\u2014like daily voice notes or journal entries\u2014and maps how your mood shifts, what triggers stress, and how your thinking evolves. \n\nMost digital twins run on remote cloud servers. I think that is a mistake. Private thoughts do not belong in a central database. I built DailyVox to create a personal digital twin that runs on an iPhone. Your twin should belong to you, not an AI company.\n\nHere is how local personal digital twins work, how privacy trade-offs break down, and how current journaling tools handle your data.\n\n## How an On-Device Digital Twin Works\n\nA digital twin needs three components: input processing, pattern extraction, and a persistent memory model.\n\nIn DailyVox, you speak. Apple's Speech framework transcribes the audio on your device. The text passes into an on-device language model that evaluates sentiment, recurring topics, and emotional state. The app updates your local twin profile.\n\nNothing touches an external server. The App Store privacy label reads \""Data Not Collected\"" because no data leaves the hardware. Turn on airplane mode. It still works.\n\nMost AI tools send raw voice or text to remote endpoints. That approach is easier to build. Server GPUs process text fast. But every entry exposes intimate details to remote infrastructure. Local execution flips the priority. Speed takes a small hit, but privacy remains complete.\n\n## Comparing Digital Twin and Journaling Options\n\nDifferent tools approach personal tracking from different angles. Here is how the current options compare:\n\n### DailyVox\nDailyVox is a free, open-source iPhone app for voice journaling. It uses Apple's native frameworks to build an emotional twin locally. It costs nothing, has no accounts, and collects zero data.\n\n### Rosebud\nRosebud is an interactive AI journal. It acts as a conversation partner, asking follow-up questions to prompt reflection. It uses cloud-based language models to generate responses. The interactive feedback is helpful, but your entries leave your device for cloud processing.\n\n### Day One\nDay One is a structured digital journal. It supports text, photos, audio, and location data. It syncs across Mac, iOS, and Android using encrypted cloud storage. Day One does not build an AI emotional twin, but it excels at archival storage.\n\n### Apple Journal\nApple Journal comes built into iOS. It suggests prompts based on photos, workouts, and locations recorded by your phone. It operates on-device with end-to-end encryption. However, it focuses on daily event prompts rather than modeling personal emotional patterns over time.\n\n### Daylio\nDaylio uses a micro-journaling format with icons and mood pickers. You tap buttons to track activities and moods without writing text. It generates clear statistical charts over time. It does not use natural language processing or AI modeling.\n\n## The Honest Limitation\n\nDailyVox has a plain limitation. It is iPhone-only.\n\nThere is no web version. There is no Android version. If you switch platforms tomorrow, your digital twin stays on your old device. \n\nOn-device AI processing also drains battery faster than API calls. Transcribing twenty minutes of continuous audio locally makes the phone warm up and drops the battery percentage faster than standard apps do.\n\n## Why Local Architecture Matters for Digital Twins\n\nYour personal digital twin holds your raw thoughts, anxieties, and relationship patterns. Cloud-based AI services change privacy policies, update terms, and face security risks.\n\nWhen a twin runs locally:\n- You own the code under an open-source MIT license.\n- No third party monetizes your emotional trends.\n- The model runs off-grid in airplane mode.\n- Deleting the app removes every trace permanently.\n\n## Frequently Asked Questions\n\n### What is a personal digital twin?\nA personal digital twin is a software representation of an individual's mental, emotional, or physical patterns. It uses personal historical data\u2014such as voice recordings or journal entries\u2014to identify trends, mood shifts, and recurring topics over time.\n\n### Is my data safe when building a personal digital twin?\nData safety depends on where processing happens. Cloud tools send entries to remote servers, creating privacy risks if policies change or servers leak. On-device tools process audio and text directly on phone hardware, keeping data offline.\n\n### Can I move my personal digital twin to Android or the web?\nWith DailyVox, no. It relies strictly on Apple frameworks like Apple Speech and CoreML models, making it an iPhone-only app. Other services like Day One or Daylio offer web or Android sync by using cloud databases."", ""description"": ""A personal digital twin is an on-device model of your emotional patterns built from daily voice journaling without cloud tracking."", ""evidence"": ""36 impressions for 'personal digital twin' at position 30.2. Demand is proven; the page is on page 4.""}",skipped,17,2026-08-05T06:40:52+00:00,autoseo
9,2026-08-03T11:37:30+00:00,video,youtube,why a journal that works in airplane mode matters #Shorts,"Most digital voice journals upload your recordings to remote servers. DailyVox processes everything on your iPhone using Apple frameworks. Turn on airplane mode and it still works. Your audio, text, and emotional patterns never leave your phone. The App Store label reads Data Not Collected because there are no servers. Because processing is strictly local, it is iPhone-only with no web or Android version. A local Digital Twin models your emotional patterns directly on device. There are no accounts to create. The app is completely free and open source. Your spoken journal lives entirely on your hardware.",Topic: why a journal that works in airplane mode matters | 97 words,gated,"{""path"": ""state/media/short.mp4"", ""description"": ""Most digital voice journals upload your recordings to remote servers. DailyVox processes everything on your iPhone using Apple frameworks. Turn on airplane mode and it still works. Your audio, text, and emotional patterns never leave your phone. The App Store label reads Data Not\n\nDailyVox is a free, open-source voice journal for iPhone. Everything runs on-device.\nhttps://getdailyvox.com\n\n#Shorts #journaling #privacy"", ""synthetic"": true}",skipped,20,2026-08-04T08:55:28+00:00,autoseo
10,2026-08-03T11:53:16+00:00,video,youtube,the 42-second journal entry that actually sticks #Shorts,"Sitting down to write a daily journal takes ten minutes most people do not have. DailyVox lets you record a forty-two second voice note instead. Everything runs directly on your iPhone using Apple frameworks. Your voice entries transcribe locally without sending audio to external servers. It works completely in airplane mode with zero accounts required. It is strictly iPhone only, so there is no web or Android version. An on-device Digital Twin tracks your emotional patterns over time. The App Store privacy label confirms no data is collected. The entire app is free and open source under the MIT license.",Topic: the 42-second journal entry that actually sticks | 100 words,gated,"{""description"": ""Sitting down to write a daily journal takes ten minutes most people do not have. DailyVox lets you record a forty-two second voice note instead. Everything runs directly on your iPhone using Apple frameworks. Your voice entries transcribe locally without sending audio to external\n\nDailyVox is a free, open-source voice journal for iPhone. Everything runs on-device.\nhttps://getdailyvox.com\n\n#Shorts #journaling #privacy"", ""synthetic"": true, ""run_id"": ""30811101037"", ""artifact"": ""short""}",posted,21,2026-08-05T05:33:29+00:00,publish
